[02.05.2025 23:24:05] 192.168.0.15:64645 -> 3.164.230.52:443, Seq=1462277017, Флаги=2
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64644, Seq=2362310064, Флаги=17
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64645, Seq=4091075765, Флаги=18
[02.05.2025 23:24:05] 192.168.0.15:64644 -> 3.164.230.52:443, Seq=893902096, Флаги=16
[02.05.2025 23:24:05] 192.168.0.15:64645 -> 3.164.230.52:443, Seq=1462277018, Флаги=16
[02.05.2025 23:24:05] 192.168.0.15:64645 -> 3.164.230.52:443, Seq=1462277018, Флаги=24
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64645, Seq=4091075766, Флаги=16
[02.05.2025 23:24:05] 3.164.230.52:443 -> 192.168.0.15:64645, Seq=4091075766, Флаги=24
[02.05.2025 23:24:05] 192.168.0.15:64645 -> 3.164.230.52:443, Seq=1462277361, Флаги=24
[02.05.2025 23:24:06] 3.164.230.52:443 -> 192.168.0.15:64645, Seq=4091075913, Флаги=16
[02.05.2025 23:24:06] 3.164.230.52:443 -> 192.168.0.15:64645, Seq=4091075913, Флаги=24
[02.05.2025 23:24:06] 192.168.0.15:64645 -> 3.164.230.52:443, Seq=1462277517, Флаги=16
[02.05.2025 23:24:07] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356114925, Флаги=24
[02.05.2025 23:24:07] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384699, Флаги=16
[02.05.2025 23:24:08] 192.168.0.15:58742 -> 192.168.0.9:445, Seq=3794421131, Флаги=16
[02.05.2025 23:24:08] 192.168.0.9:445 -> 192.168.0.15:58742, Seq=1344010310, Флаги=16
[02.05.2025 23:24:09] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384699, Флаги=24
[02.05.2025 23:24:09] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356115014, Флаги=24
[02.05.2025 23:24:09] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384804, Флаги=16
[02.05.2025 23:24:12] 192.168.0.15:63728 -> 213.180.193.234:443, Seq=3956842433, Флаги=16
[02.05.2025 23:24:12] 213.180.193.234:443 -> 192.168.0.15:63728, Seq=3238601153, Флаги=16
[02.05.2025 23:24:12] 87.250.251.119:443 -> 192.168.0.15:64422, Seq=4214245488, Флаги=20
[02.05.2025 23:24:13] 192.168.0.15:49416 -> 4.207.247.138:443, Seq=2795125630, Флаги=16
[02.05.2025 23:24:13] 4.207.247.138:443 -> 192.168.0.15:49416, Seq=796723909, Флаги=16
[02.05.2025 23:24:15] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875384804, Флаги=24
[02.05.2025 23:24:15] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356115263, Флаги=16
